WKT,Facility_ID_Hazus,Facility_Name,Address,City,Zip_Code,Contact_Person,Phone_Number,Replacement_Cost_Thousands,Comment,GlobalID,Shape_X,Shape_Y
"POINT (660028.8727 4599710.0438)",IN000089,Hudson Police Dept,115 W Parsonage St,Hudson,46747-0000, , ,1442, ,{599B90B5-0252-4E2E-8230-EE8DC50FB2BD},660028.8727,4599710.0438
"POINT (573693.9043 4400462.8008)",IN000091,Indianapolis Police Dept,1150 Shelby St,Indianapolis,46203-1166, , ,1442, ,{3DC3B978-3B3F-4084-A4A6-0F66E158A756},573693.9043,4400462.8008
"POINT (588954.5015 4403434.003)",IN000092,Cumberland Police Dept,11501 E Washington St,Cumberland,46229-2827, , ,1442, ,{2549CEEC-6CB5-4988-9E77-4A1B99F6D0D7},588954.5015,4403434.003
"POINT (418093.8328 4220628.1094)",CO782036,New Harmony Police Dept,520 E Church St,New Harmony,47631-0000, , ,1442,CountyApproved,{0C89B7FA-1101-4824-89BF-11C0B202D715},418093.8328,4220628.1094
"POINT (437955.7737 4226868.2341)",CO782034,Cynthiana Police Dept,10868 Main St,Cynthiana,47612-0000, , ,1442,CountyApproved,{85A0CB35-D17D-4A3C-B83C-11AFFBC2F110},437955.7737,4226868.2341
"POINT (607107.8973 4428782.0401)",IN000107,Pendleton Police Dept,122 E State St,Pendleton,46064-1027, , ,1442, ,{BF6EE36C-4763-4E40-A38A-DA4A0423ADBF},607107.8973,4428782.0401
"POINT (563146.2982 4244095.3176)",CO610679,Milltown Police Dept,207 Poplar St,Milltown,47145, ,812-633-2045,1442,"Added by TPC, 10/15/05",{7978F4BE-7539-471B-BCA2-859B9B3C64DA},563146.2982,4244095.3176
"POINT (617973.3288 4365119.2014)",CO755995,St Paul Police Department,"108 Webster Street
",St Paul,47272, , ,1442,CountyApproved,{2D3AF32D-18AE-4681-A571-745BCE84039F},617973.3288,4365119.2014
"POINT (681071.8294 4622147.39)",IN000110,Clear Lake Police Dept,122 Outer Drive Clear Lk,Fremont,46737-9513, , ,1442, ,{83AA60AA-686D-4AF2-AE87-BB254512E8D9},681071.8294,4622147.39
"POINT (605481.469 4404639.3063)",IN000114,Hancock County Sheriff Dept,123 E Main St,Greenfield,46140-2347, , ,1442, ,{E14B89CA-5832-438C-AF6D-FAFF539D0E2F},605481.469,4404639.3063
"POINT (635558.5709 4594767.8422)",IN000115,Rome City Police Dept,123 Kerr Ave,Rome City,46784-1029, , ,1442, ,{D3647FEB-9E87-4F54-ADF0-48CE479845D8},635558.5709,4594767.8422
"POINT (419991.0275 4199181.5349)",CO782035,Posey County Sheriff and Jail,1201 Odonnell Rd,Mt Vernon,47620-9224, , ,1442,CountyApproved,{DF20177D-57F3-407A-8D3A-3DD490A62DC0},419991.0275,4199181.5349
"POINT (593156.0388 4339466.6979)",IN000118,Police Dept-Investigations,123 Washington St # 11,Columbus,47201-6774, , ,1442, ,{BB1ECD99-5895-4380-B721-B39C46FCB775},593156.0388,4339466.6979
"POINT (593156.0388 4339466.6979)",IN000119,Police Chief's Office,123 Washington St,Columbus,47201-6774, , ,1442, ,{E27ABD33-44A2-483D-9FF7-B83CC565B7E9},593156.0388,4339466.6979
"POINT (532962.0726 4266577.5542)",CO659987,French Lick Police Dept,122 Indiana Ave,French Lick,47432-1045, ,812-936-9811,1442, ,{03F2EAD1-C655-4D09-9E44-6DB6EAB9E840},532962.0726,4266577.5542
"POINT (653394.6437 4562606.0268)",IN000123,Allen County Sheriff Criminal,12535 Lima Rd,Fort Wayne,46818-8903, , ,1442, ,{C1B1E506-3DE5-42E6-A8D5-854A50FFA602},653394.6437,4562606.0268
"POINT (584156.1615 4433142.4836)",IN000138,Noblesville Police Dept,135 S 9th St,Noblesville,46060-2620, , ,1442, ,{F42C5E10-1E2F-44EE-8D21-252A7CB79C82},584156.1615,4433142.4836
"POINT (637375.0696 4449286.0251)",IN000142,Muncie Police DEPT-Pal Club,1405 S Walnut St,Muncie,47302-3264, , ,1442, ,{3581244F-B329-4EA3-BAA1-38FE3DE87338},637375.0696,4449286.0251
"POINT (610673.2487 4439848.4572)",IN000143,Anderson Police Dept,1407 Arrow Ave,Anderson,46016-3231, , ,1442, ,{40290D80-E48E-4363-873D-C630D1AC4B6B},610673.2487,4439848.4572
"POINT (564155.9513 4404195.3901)",IN000144,Speedway Police Dept,1410 N Lynhurst Dr,Speedway,46224-6407, , ,1442, ,{BE0DF8F4-C012-47D3-BD25-A9AF9C0C221E},564155.9513,4404195.3901
"POINT (421271.9437 4198862.8579)",CO782037,Mt Vernon Police Dept,526 Main St,Mt Vernon,47620-1846, , ,1442,CountyApproved,{843572B6-21E7-4AAF-9B5D-85650AE64851},421271.9437,4198862.8579
"POINT (598152.4923 4435818.2458)",IN000130,Lapel Police Dept,13 E 7th St,Lapel,46051-0000, , ,1442, ,{7B0C685D-A408-479E-8715-E6A87478520D},598152.4923,4435818.2458
"POINT (657955.52 4547659.8073)",IN000139,Fort Wayne Police Dept,1320 E Creighton Ave,Fort Wayne,46803-3502, , ,1442, ,{2F9CA5C6-B9C9-4283-B3F6-2EE627289B2B},657955.52,4547659.8073
"POINT (431632.3261 4225191.3037)",CO782038,POSEYVILLE POLICE DEPARTMENT,77 N ST FRANCIS AVE,PoseyVille Polic Department,47620, , ,1442,CountyApproved,{EB01A005-BD7D-499D-8DE7-94E533D2DDEB},431632.3261,4225191.3037
"POINT (501372.0636 4411650.6434)",CO719721,Russellville Town Marshall,213 S Harrison,Russellville,46175-0000, , ,1442,CountyApproved,{96494690-0B63-48C5-AEC4-AA23BEBEAB24},501372.0636,4411650.6434
"POINT (521145.9011 4391343.6596)",CO719724,Fillmore Town Marshall,2 N Main St,Fillmore,46128, , ,1442,CountyApproved,{7A277E6A-7421-4C00-84B2-C975A8CA8FB5},521145.9011,4391343.6596
"POINT (517660.1751 4373381.1397)",CO719717,Cloverdale Police Dept,154 S Main St,Cloverdale,46120-8538, , ,1442,CountyApproved,{EFAE3249-2385-41BA-BF57-6CF9768FEE68},517660.1751,4373381.1397
"POINT (512468.005 4387064.0402)",CO719718,Putnam County Sheriff's Ofc,13 Keightly Rd,Greencastle,46135-2227, , ,1442,CountyApproved,{8E5C2CE5-5F35-411C-8095-3B5BB49D8B10},512468.005,4387064.0402
"POINT (509639.9651 4379858.3123)",CO719719,Indiana State Police Dstrct 53,1927 W Us Highway 40,Greencastle,46135-8706, , ,1442,CountyApproved,{E27DAA1F-BE2D-4605-88AA-F92EF631AE91},509639.9651,4379858.3123
"POINT (516925.5939 4411389.5596)",CO719722,Roachdale Town Marshall,205 N Indiana,Roachdale,46172-0198, , ,1442,CountyApproved,{950D576C-23EA-4930-BD26-09383C54C951},516925.5939,4411389.5596
"POINT (673227.3828 4502670.5936)",IN000161,Berne Police Dept,158 W Franklin St,Berne,46711-2144, , ,1442, ,{94958794-48AF-41AD-AAFF-5088066E601E},673227.3828,4502670.5936
"POINT (612584.6481 4440481.6742)",IN000162,Madison County Sheriffs Dept,16 E 9th St # 305,Anderson,46016-1538, , ,1442, ,{497AFB7C-7C89-4769-85EE-ED293316B497},612584.6481,4440481.6742
"POINT (598623.02 4459151.082)",IN000167,Elwood Police Dept,1601 Main St,Elwood,46036-2024, , ,1442, ,{9D8DC072-C9C2-4A10-BC22-A73E0DE2E092},598623.02,4459151.082
"POINT (511676.8538 4388155.9894)",CO719720,Greencastle Police Dept,652 N Jackson,Greencastle,46135-1527, , ,1442,CountyApproved,{9045A06A-73BC-4BC3-8457-3A9A86C56E9C},511676.8538,4388155.9894
"POINT (516108.5503 4401260.2215)",CO719723,Bainbridge Town Marshall,201 N Grant,Bainbridge,46105-0385, , ,1442,CountyApproved,{EF7DC9E4-00E0-43AC-8351-CDB1391084A5},516108.5503,4401260.2215
"POINT (585654.8972 4434076.1639)",IN000181,Hamilton County Sheriffs Dept,18100 Cumberland Rd,Noblesville,46060-1624, , ,1442, ,{84033421-807E-4C9F-B4A7-744CFD23E713},585654.8972,4434076.1639
"POINT (540545.8059 4401301.6011)",IN000153,Danville Police Dept,147 W Main St,Danville,46122-1705, , ,1442, ,{53CD2E9C-8FC3-494B-B4C9-662521E1C5A7},540545.8059,4401301.6011
"POINT (652221.9098 4510565.5898)",IN000158,Wells County Sheriff Dept,1525 Corning Rd,Bluffton,46714-9790, , ,1442, ,{A2EEDBBF-6E71-4FB0-A66E-F350CE620F66},652221.9098,4510565.5898
"POINT (662098.3501 4331824.8729)",CO746273,Milan Town Police Dept,412 E Carr St.,Milan,47031-8891, , ,1442,County Approved,{C7C68A4F-4B02-4914-87AA-136E8B1CB967},662098.3501,4331824.8729
"POINT (653221.7183 4351249.7188)",CO746274,Batesville Police Dept,132 S Main St,Batesville,47006-1345, , ,1442,County Approved,{AAD854F4-B489-4445-A271-C35C6D7CA693},653221.7183,4351249.7188
"POINT (639458.4455 4326349.7169)",CO746279,Holton Police Dept,7044 Versailles St.,Holton, , , ,1442,County Approved,{BE41723B-DEDC-4A89-959D-C71607A01395},639458.4455,4326349.7169
"POINT (664469.5712 4344723.2911)",CO746278,Sunman Police Dept,119 S Meridian St,Sunman,47041-0000, , ,1442,County Approved,{EE530F26-186E-4099-AC8D-5CD3E74F2ECE},664469.5712,4344723.2911
"POINT (651311.5272 4326085.9902)",CO746272,Versailles Police Dept,100 E Water St,Versailles,47042-0000, , ,1442,County Approved,{BDE72EAF-9B80-4212-B49B-65BAB39A4E6B},651311.5272,4326085.9902
"POINT (638975.3638 4449053.2307)",IN000171,Muncie Police Dept-Cop Shop 6,1610 S Macedonia Ave,Muncie,47302-3647, , ,1442, ,{2C5948AD-8EA1-4125-931E-A2D00AA20CBF},638975.3638,4449053.2307
"POINT (533701.7605 4268685.6407)",CO659991,West Baden Springs Police Dept,8272 W Ballard,West Baden Springs,47469, ,812-936-4614,1442,"ADDED BY TPC, 11/11/05",{478F7CC5-A088-4524-9B28-AEB6E944649C},533701.7605,4268685.6407
"POINT (545478.519 4267665.2709)",CO659990,Paoli Police Dept,816 W Main St,Paoli,47454-1041, ,812-723-2836,1442, ,{19FBC772-16CC-40A2-BEF1-D9A9E104C567},545478.519,4267665.2709
"POINT (648012.754 4513243.4335)",IN000173,Wells County Sheriff Dept,1615 W Western Ave,Bluffton,46714-9792, , ,1442, ,{EBF688F8-FA91-47F9-AFBB-CF1A75123FAF},648012.754,4513243.4335
"POINT (638820.8022 4451624.2742)",IN000175,Muncie Police Dept-Cop Shop,1621 E Highland Ave,Muncie,47303-3948, , ,1442, ,{FD202FCD-5DB4-4DDB-9F6C-656E09BC204A},638820.8022,4451624.2742
"POINT (511594.4631 4615071.1563)",IN000177,Indiana State Excise Police,1712 E Us Highway 20,Michigan City,46360-7502, , ,1442, ,{3E2251A6-BF89-47B5-8E4F-C1CDD771AD6B},511594.4631,4615071.1563
"POINT (636250.9011 4448623.8808)",IN000209,Muncie Police Dept-Cop Shop,2009 S Hoyt Ave,Muncie,47302-3009, , ,1442, ,{4513E471-4019-4A36-8C2F-391DA5EA7CDE},636250.9011,4448623.8808
"POINT (585591.937 4615480.5485)",IN000178,Elkhart Police Dept,175 Waterfall Dr,Elkhart,46516-3699, , ,1442, ,{C6844CB8-D9EA-4695-9D46-80D8C753F15E},585591.937,4615480.5485
"POINT (470321.8371 4600297.1095)",IN798856,Community Policing,3572 Grant St,Gary,46408-1422, , ,1442, ,{9AED87D3-8BF4-443C-87EC-D6B584570A8D},470321.8371,4600297.1095
"POINT (650925.0261 4325120.4243)",CO746277,Indiana State Police Dept,902 S Adams St,Versailles,47042-9796, , ,1442,County Approved,{BFB91179-FA01-4B4C-AF50-6A378B3D958C},650925.0261,4325120.4243
"POINT (651448.2159 4326268.4818)",CO746276,Ripley County Sheriff's Dept,210 N Monroe St,Versailles,47042-9529, , ,1442,County Approved,{98638815-B339-4AA9-9D0E-B48DFE37294D},651448.2159,4326268.4818
"POINT (647624.0554 4332472.9446)",CO746275,Osgood Police Dept,147 W Ripley St,Osgood,47037-1228, , ,1442,County Approved,{F8497410-865C-48E0-A411-10086EB54B45},647624.0554,4332472.9446
"POINT (572390.4108 4432693.7855)",IN000179,Westfield Police Dept,17535 Dartown Rd,Westfield,46074-8969, , ,1442, ,{284CCD54-BEEB-49CD-A354-39569C58FC4A},572390.4108,4432693.7855
"POINT (571553.6845 4480963.9972)",IN000180,Eastern Howard County Sheriff,1800 W Markland Ave,Kokomo,46901-6126, , ,1442, ,{6E2A7C01-FF64-4F04-B920-A09BC00C5320},571553.6845,4480963.9972
"POINT (654863.8544 4550671.5092)",IN000186,Fort Wayne Police Training Ctr,1903 Saint Marys Ave,Fort Wayne,46808-2331, , ,1442, ,{61B50A1E-75F2-468A-BECB-F92F13D581AB},654863.8544,4550671.5092
"POINT (607103.8875 4282471.17)",CO746774,Scott County Sheriff,111 S 1st St,Scottsburg,47170-1802, , ,1442,County Approved,{FA8343AC-8A6B-423E-977E-A0E2A2DF3A9E},607103.8875,4282471.17
"POINT (604912.2811 4283015.8435)",CO746775,Scottsburg Police Dept,203 S Lake Road North Dr.,Scottsburg,47170-1637, , ,1442,County Approved,{B7BD10AD-609F-4C19-AEB1-67542F05EF17},604912.2811,4283015.8435
"POINT (603685.2459 4288797.8919)",CO746776,Austin Police Dept,80 W Main St,Austin,47102-1659, , ,1442,County Approved,{04E3D9B8-FFC7-4391-A251-6EFBF25D1F4A},603685.2459,4288797.8919
"POINT (667785.7926 4290563.4009)",CO740186,Switzerland County Jail,402 Liberty Street,Vevay,47043, , ,1442,CountyApproved,{097CB2A6-B314-4F1A-BEAC-31AC14097D6B},667785.7926,4290563.4009
"POINT (667785.7926 4290563.4009)",CO740184,Switzerland County Sheriff Ofc,401 Liberty Street,Vevay,47043-1117, , ,1442,CountyApproved,{92EA9208-2C13-4C90-8039-C8AB9DE2C1DF},667785.7926,4290563.4009
"POINT (610974.4239 4459429.4881)",IN000194,Orestes Police Dept,2 S Superior,Orestes,46063-0000, , ,1442, ,{8D4ED716-0055-427F-95C9-6681EFD1F73D},610974.4239,4459429.4881
"POINT (509277.8305 4474108.6012)",IN000195,Lafayette Police Dept,20 N 6th St # 2,Lafayette,47901-1410, , ,1442, ,{BF60DF74-2FA8-4306-9BB1-DD932E0FA298},509277.8305,4474108.6012
